Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,2.901981830596924,2.901981830596924,58.23606413319187,169
2,2.606786012649536,1.303393006324768,129.66158263848322,338
4,3.8710715770721436,0.9677678942680359,174.88697548497512,677
8,5.958649396896362,0.7448311746120453,226.897055011192,1352
16,8.524242162704468,0.5327651351690292,317.21294965441336,2704
24,11.453478574752808,0.47722827394803363,354.73938973930365,4063
32,18.780492067337036,0.5868903771042824,288.49084361442084,5418
40,19.99070692062378,0.4997676730155945,338.70738172918607,6771
48,22.21537685394287,0.4628203511238098,365.55760694010706,8121
