Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,2.503044605255127,2.503044605255127,67.51777401217123,169
2,2.042449474334717,1.0212247371673584,165.97717802073015,339
4,3.7226336002349854,0.9306584000587463,181.8604978897911,677
8,7.094337224960327,0.8867921531200409,190.8564474826712,1354
16,12.031383991241455,0.7519614994525909,224.91178088654638,2706
