Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,2.8689892292022705,2.8689892292022705,58.905763144670594,169
2,2.3639230728149414,1.1819615364074707,143.40568180855453,339
4,3.8037407398223877,0.9509351849555969,177.71978855519086,676
8,5.915607690811157,0.7394509613513947,228.5479481846119,1352
16,8.445163488388062,0.5278227180242538,320.53849563979117,2707
24,14.252888441085815,0.5938703517119089,285.4859923179203,4069
32,19.17948317527771,0.5993588492274284,282.28080759645434,5414
40,18.25165343284607,0.4562913358211517,370.7609299561847,6767
