Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,43.09631156921387,43.09631156921387,12.158813154077967,524
2,44.57797837257385,22.288989186286926,24.608563242403967,1097
4,53.542539834976196,13.385634958744049,54.51739885699611,2919
8,64.42229700088501,8.052787125110626,81.04336919138844,5221
16,110.68286848068237,6.917679280042648,99.97030391321299,11065
24,172.8734962940216,7.203062345584233,109.25908485055146,18888
32,213.59479784965515,6.6748374328017235,108.73392158336921,23225
40,231.6510751247406,5.791276878118515,116.36898290018323,26957
48,306.34057092666626,6.382095227638881,114.83624220450177,35179
