Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,48.96282935142517,48.96282935142517,15.95087559982412,781
2,46.652265310287476,23.326132655143738,27.072640344465565,1263
4,79.70979714393616,19.92744928598404,42.84291420078959,3415
8,97.9386978149414,12.242337226867676,57.188834699265506,5601
