Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,43.82675909996033,43.82675909996033,12.846033144178111,563
2,50.78927683830261,25.394638419151306,33.96386220445445,1725
4,62.23880076408386,15.559700191020966,45.18081912694437,2812
8,97.83024716377258,12.228780895471573,67.01403901213638,6556
