Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,44.972700357437134,44.972700357437134,13.719434125506469,617
2,55.89654183387756,27.94827091693878,29.697722713033983,1660
4,50.81741261482239,12.704353153705597,48.42828222391979,2461
8,81.4134955406189,10.176686942577362,73.46447858900683,5981
16,137.28855800628662,8.580534875392914,94.13748813217336,12924
24,154.961008310318,6.456708679596583,108.10461407461413,16752
32,226.43453812599182,7.076079316437244,109.21920394599553,24731
40,232.7525577545166,5.818813943862915,119.04058227030306,27707
48,305.26870369911194,6.359764660398166,115.39342085561611,35226
