Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,2.1808040142059326,2.1808040142059326,87.58237730479706,191
2,2.449195146560669,1.2245975732803345,185.36701766600288,454
4,3.050091505050659,0.7625228762626648,252.77930144826735,771
8,4.617194414138794,0.5771493017673492,382.6999345293073,1767
16,8.180367231369019,0.5112729519605637,418.19638449501264,3421
24,13.961781978607178,0.5817409157752991,395.9379976331267,5528
32,16.496222496032715,0.5155069530010223,414.8828619185973,6844
40,20.162219285964966,0.5040554821491241,434.9223602633937,8769
