Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.5896642208099365,4.5896642208099365,44.44769599376056,204
2,4.1976318359375,2.09881591796875,94.5771367086399,397
4,5.473688125610352,1.368422031402588,146.70181814760596,803
8,7.699812650680542,0.9624765813350677,211.0440959698384,1625
16,15.03810739517212,0.9398817121982574,217.5140736825787,3271
24,22.424302339553833,0.934345930814743,216.81833960220933,4862
32,29.81974768638611,0.9318671151995659,218.41231081151776,6513
40,37.20788311958313,0.9301970779895783,218.39457982287496,8126
48,44.0245726108551,0.9171785960594813,220.4904993809424,9707
