Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,8.291966438293457,8.291966438293457,22.190152525251712,184
2,9.130884408950806,4.565442204475403,40.521814035592996,370
4,22.416818857192993,5.604204714298248,34.61686535201676,776
8,36.946696758270264,4.618337094783783,44.767195585076585,1654
16,59.51627039909363,3.7197668999433517,55.86707597273495,3325
24,84.06859350204468,3.502858062585195,60.79559306384367,5111
32,69.91874885559082,2.184960901737213,96.92679161060389,6777
40,72.7560682296753,1.8189017057418824,110.72615928844502,8056
48,83.76885938644409,1.7451845705509186,117.81227621200071,9869
