Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,5.4016945362091064,5.4016945362091064,43.13461237730757,233
2,4.5128233432769775,2.2564116716384888,89.30108035369325,403
4,5.345701694488525,1.3364254236221313,137.30657675058106,734
8,9.377871036529541,1.1722338795661926,189.91517297076126,1781
16,13.804885625839233,0.8628053516149521,235.06170843793052,3245
24,17.339304447174072,0.722471018632253,287.55478717098185,4986
32,23.864131212234497,0.745754100382328,279.54086996387105,6671
40,30.337478637695312,0.7584369659423829,271.6112336956549,8240
48,38.19266390800476,0.7956804980834326,264.63197289261836,10107
