Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.896003007888794,4.896003007888794,41.462392827968394,203
2,5.076869487762451,2.5384347438812256,86.66758148118615,440
4,5.262258291244507,1.3155645728111267,139.6738737098697,735
8,8.827259063720703,1.103407382965088,183.4091407438074,1619
16,12.789897918701172,0.7993686199188232,246.2099400649309,3149
24,17.910359144210815,0.7462649643421173,286.761418832861,5136
32,23.316856384277344,0.728651762008667,282.71392555494805,6592
40,31.714449167251587,0.7928612291812897,255.81399686984008,8113
48,38.27564001083374,0.7974091668923696,257.42221416052496,9853
