Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.547927141189575,4.547927141189575,44.195958677435094,201
2,4.330945253372192,2.165472626686096,94.66755546742661,410
4,5.459498643875122,1.3648746609687805,148.18210476297074,809
8,7.833789587020874,0.9792236983776093,204.49872723850214,1602
16,14.602069616317749,0.9126293510198593,223.87237466303452,3269
24,21.009538888931274,0.8753974537054697,230.7047301525312,4847
32,28.22762656211853,0.8821133300662041,231.935901007918,6547
40,33.3660409450531,0.8341510236263275,246.80782516455352,8235
48,39.056384801864624,0.8136746833721796,249.89512084933267,9760
