Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.7424702644348145,4.7424702644348145,44.2807204453873,210
2,4.336184978485107,2.1680924892425537,93.86130942739204,407
4,5.57854700088501,1.3946367502212524,140.8969037771493,786
8,10.523991346359253,1.3154989182949066,154.59913890587305,1627
16,17.611533403396606,1.100720837712288,184.48138078501384,3249
24,24.422058582305908,1.017585774262746,199.57367572327726,4874
32,34.58782720565796,1.0808696001768112,188.2165063821956,6510
40,41.650487184524536,1.0412621796131134,196.4922994475995,8184
48,48.39129376411438,1.0081519534190495,201.19321561144008,9736
