Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.564297914505005,4.564297914505005,44.47562446677305,203
2,4.267127275466919,2.1335636377334595,95.14597849804575,406
4,5.567429780960083,1.3918574452400208,150.15905595415248,836
8,7.945927143096924,0.9932408928871155,206.89844877677186,1644
16,14.018160104751587,0.8761350065469742,232.4128113571531,3258
24,18.227988719940186,0.7594995299975077,267.22641070495376,4871
32,24.575130462646484,0.7679728269577026,263.72189599770144,6481
40,28.731105089187622,0.7182776272296906,282.86416323952795,8127
48,35.21844124794006,0.7337175259987513,276.4176850265741,9735
