Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.4539711475372314,4.4539711475372314,43.78115473599843,195
2,4.5419275760650635,2.2709637880325317,92.03141023268753,418
4,5.309278249740601,1.3273195624351501,149.17281836541443,792
8,7.986496210098267,0.9983120262622833,205.09619699423183,1638
16,11.284467697143555,0.7052792310714722,285.0821222887032,3217
24,18.57279682159424,0.7738665342330933,261.83455549063467,4863
32,21.81389617919922,0.6816842555999756,298.06688115624314,6502
40,25.161952257156372,0.6290488064289093,323.9812204031772,8152
48,31.50608491897583,0.6563767691453298,309.8449085344919,9762
