Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.573413372039795,4.573413372039795,43.29370295073277,198
2,3.8332087993621826,1.9166043996810913,99.13365534985445,380
4,4.896127462387085,1.2240318655967712,158.28836278338068,775
8,7.651586055755615,0.9564482569694519,208.8455894445525,1598
16,15.149491310119629,0.9468432068824768,214.39663771617109,3248
24,20.896987676620483,0.8707078198591868,231.27735321426985,4833
32,24.54395866394043,0.7669987082481384,264.2198061361492,6485
40,30.707784175872803,0.76769460439682,262.5392947217057,8062
48,35.14605474472046,0.7322094738483429,275.6781684423756,9689
