Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.484983682632446,4.484983682632446,43.25545280158797,194
2,4.1184797286987305,2.0592398643493652,98.33725711403787,405
4,5.105099439620972,1.276274859905243,159.44841224492103,814
8,7.631154298782349,0.9538942873477936,213.46705049063527,1629
16,15.694157600402832,0.980884850025177,204.47099371027295,3209
24,23.653629779815674,0.9855679074923197,206.22627670289057,4878
32,31.955232620239258,0.9986010193824768,202.03263974711325,6456
40,37.77415347099304,0.9443538367748261,216.31192890330556,8171
48,46.62767004966736,0.9714097927014033,210.43298945772648,9812
