Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.389360189437866,4.389360189437866,46.70384547007381,205
2,4.074448108673096,2.037224054336548,101.60885326254044,414
4,4.8486168384552,1.2121542096138,164.37677518232792,797
8,7.507439613342285,0.9384299516677856,216.31875627927974,1624
16,14.122618913650513,0.882663682103157,228.2154619979685,3223
24,21.49755048751831,0.8957312703132629,228.07249611283527,4903
32,27.97291898727417,0.8741537183523178,229.2216984189972,6412
40,34.871875286102295,0.8717968821525574,231.87740646751405,8086
48,41.88960361480713,0.8727000753084818,232.75464933150076,9750
