Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,5.896688222885132,5.896688222885132,34.25651694048111,202
2,6.133823871612549,3.0669119358062744,66.35338877003032,407
4,8.707609415054321,2.1769023537635803,95.54861275260929,832
8,13.919957399368286,1.7399946749210358,115.733112809175,1611
16,23.72804880142212,1.4830030500888824,135.11435461173915,3206
24,36.1087601184845,1.5045316716035206,134.51029567513854,4857
32,54.874311208724976,1.7148222252726555,118.23383031308852,6488
40,60.07528734207153,1.5018821835517884,134.63106641415703,8088
48,68.61898899078369,1.429562270641327,142.16181473192802,9755
