Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,41.530922651290894,41.530922651290894,5.465806813539314,227
2,53.38555979728699,26.692779898643494,8.316855750617487,444
4,79.87745022773743,19.969362556934357,10.766492890647694,860
8,141.29672074317932,17.662090092897415,12.463134252073624,1761
16,271.296861410141,16.956053838133812,13.0078909931248,3529
24,468.9528753757477,19.539703140656155,11.250597399093916,5276
32,622.1329214572906,19.441653795540333,11.41235217607338,7100
40,764.810394525528,19.120259863138198,11.478661983204745,8779
