Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,45.8827543258667,45.8827543258667,4.620472400029473,212
2,62.34032917022705,31.170164585113525,7.23448217234297,451
4,95.37248110771179,23.843120276927948,9.373773122147615,894
8,168.7637221813202,21.095465272665024,10.21546560905862,1724
16,346.9957160949707,21.68723225593567,10.126926175187243,3514
24,566.4821600914001,23.603423337141674,9.352456923171568,5298
32,837.6974654197693,26.17804579436779,8.457707337636165,7085
40,1039.9460742473602,25.998651856184004,8.492748055606613,8832
48,1255.9435789585114,26.16549122830232,8.42792636336227,10585
