Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,44.67713475227356,44.67713475227356,4.901836279661049,219
2,54.743602991104126,27.371801495552063,7.818265086964596,428
4,89.18268418312073,22.295671045780182,9.844960465612177,878
8,157.137943983078,19.64224299788475,11.524905787204549,1811
16,301.9587914943695,18.872424468398094,11.836052139143108,3574
24,482.6580636501312,20.110752652088802,10.858618957621086,5241
32,684.0704343318939,21.377201072871685,10.158310681540899,6949
40,858.9037220478058,21.472593051195144,10.27239697944739,8823
48,1001.874706029892,20.87238970895608,10.587152201927662,10607
