Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,12.551767587661743,12.551767587661743,16.57137120706902,208
2,9.229854583740234,4.614927291870117,45.50450889441884,420
4,10.574975728988647,2.643743932247162,81.04037512358057,857
8,21.089351892471313,2.636168986558914,83.26476835103095,1756
16,40.79159450531006,2.5494746565818787,83.32599010214062,3399
24,59.89678359031677,2.495699316263199,85.34681987208462,5112
32,80.79789471626282,2.524934209883213,84.24724460834129,6807
40,99.78820633888245,2.494705158472061,85.15034302895518,8497
48,118.9153323173523,2.477402756611506,85.49780589156556,10167
