Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,15.3089280128479,15.3089280128479,13.717485628239881,210
2,20.329569339752197,10.164784669876099,20.46280435397904,416
4,29.033373594284058,7.258343398571014,29.48331158348491,856
8,48.8171660900116,6.10214576125145,34.74187741403973,1696
16,92.99218726158142,5.812011703848839,36.64824003347186,3408
24,137.55190110206604,5.731329212586085,37.055103994658225,5097
32,184.01682114601135,5.750525660812855,36.84445779345515,6780
40,215.20201349258423,5.380050337314605,39.302606247647674,8458
48,262.53077960014343,5.469391241669655,38.54786099905548,10120
