Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,6.861806869506836,6.861806869506836,31.478589256115875,216
2,6.258033990859985,3.1290169954299927,70.46941589708389,441
4,7.059091091156006,1.7647727727890015,123.38698973458975,871
8,10.493625164031982,1.3117031455039978,164.1949253062484,1723
16,20.318190336227417,1.2698868960142136,175.01558658300573,3556
24,29.48690152168274,1.2286208967367809,178.75733725783468,5271
32,39.289891719818115,1.227809116244316,179.07913949406455,7036
