Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,13.828761339187622,13.828761339187622,15.041115751312768,208
2,17.788381099700928,8.894190549850464,24.679030516575835,439
4,29.9998779296875,7.499969482421875,29.133451877652497,874
8,55.25321054458618,6.906651318073273,31.59997369910438,1746
16,95.57533478736877,5.973458424210548,36.599400962415416,3498
24,142.82737469673157,5.951140612363815,36.442593802846886,5205
32,211.171222448349,6.599100701510906,33.36628882623153,7046
40,251.50576329231262,6.287644082307816,34.79443129034442,8751
48,289.8607323169708,6.038765256603559,36.1104448896308,10467
