Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.755443334579468,4.755443334579468,45.21134726527297,215
2,4.276875972747803,2.1384379863739014,95.63054963626315,409
4,5.562254428863525,1.3905636072158813,148.86050442125787,828
8,7.73785924911499,0.9672324061393738,208.58482275761213,1614
16,11.228087663650513,0.701755478978157,291.5011084742343,3273
24,18.224501609802246,0.7593542337417603,268.70419311582685,4897
32,22.065932989120483,0.6895604059100151,295.8406518871694,6528
40,28.251429557800293,0.7062857389450073,285.79084762706276,8074
48,32.11942958831787,0.6691547830899557,303.5857150945958,9751
