Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.695846080780029,4.695846080780029,43.6556046500458,205
2,4.485886335372925,2.2429431676864624,92.06653248062428,413
4,6.209349155426025,1.5523372888565063,142.3659674907343,884
8,9.279412031173706,1.1599265038967133,180.29159545665638,1673
16,15.55488133430481,0.9721800833940506,209.6448008772767,3261
24,24.11994981765747,1.0049979090690613,211.6505232636424,5105
32,28.837536334991455,0.901173010468483,227.82806144323655,6570
40,35.72191524505615,0.8930478811264038,238.53704208033164,8521
48,43.82555961608887,0.9130324920018514,235.88974312160983,10338
