Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.16172981262207,4.16172981262207,40.36782961990334,168
2,4.236734867095947,2.1183674335479736,92.99614263331651,394
4,5.912243127822876,1.478060781955719,140.55578940746426,831
8,8.676607847213745,1.0845759809017181,180.0242707179158,1562
16,15.862213611602783,0.991388350725174,211.13068339656556,3349
24,21.985623121261597,0.9160676300525665,231.7878357094105,5096
32,26.488924026489258,0.8277788758277893,250.44429865727716,6634
40,33.54990530014038,0.8387476325035095,257.07971223286614,8625
48,38.812628984451294,0.8085964371760687,260.2761076567876,10102
