Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.837469816207886,4.837469816207886,44.238002123133775,214
2,4.521366596221924,2.260683298110962,90.68054785528739,410
4,6.173687934875488,1.543421983718872,126.18065704283302,779
8,8.76026201248169,1.0950327515602112,180.81650956821892,1584
16,16.301843643188477,1.0188652276992798,202.49243412289027,3301
24,22.571974754333496,0.940498948097229,219.7858208683119,4961
32,28.887776613235474,0.9027430191636086,221.27005776801064,6392
40,36.098026752471924,0.9024506688117981,232.616593078041,8397
48,43.02098631858826,0.896270548303922,233.5836729911998,10049
