Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,2.955869674682617,2.955869674682617,57.51268449217185,170
2,2.656792402267456,1.328396201133728,127.22108046964144,338
4,3.927827835083008,0.981956958770752,172.1053030792308,676
8,6.096384763717651,0.7620480954647064,221.44271602318506,1350
16,8.461664199829102,0.5288540124893188,320.14978803516135,2709
24,11.464629173278809,0.4776928822199504,354.219917506375,4061
32,15.598897218704224,0.487465538084507,347.1399243215102,5415
40,24.713930130004883,0.617848253250122,273.8536511351164,6768
48,23.15602993965149,0.482417290409406,350.5782304288289,8118
