Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,3.0017194747924805,3.0017194747924805,55.96792152325108,168
2,2.627185583114624,1.313592791557312,128.65478638904858,338
4,3.918571949005127,0.9796429872512817,172.76702043760642,677
8,6.070595026016235,0.7588243782520294,222.71292916194344,1352
16,8.473397970199585,0.5295873731374741,319.47041901257927,2707
24,11.49341630935669,0.4788923462231954,353.50672860360476,4063
32,15.461412191390991,0.4831691309809685,350.09738651259755,5413
