Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,6.819114685058594,6.819114685058594,30.94243310826308,211
2,4.604660272598267,2.3023301362991333,87.30285758370702,402
4,6.443952798843384,1.610988199710846,134.38956290235973,866
8,9.30830430984497,1.1635380387306213,179.0873981458567,1667
16,17.07753038406372,1.0673456490039825,209.3394021032509,3575
24,22.84504199028015,0.9518767495950063,211.2931113041393,4827
32,30.167688608169556,0.9427402690052986,216.88768022579376,6543
40,35.29867887496948,0.8824669718742371,232.0200149419071,8190
48,43.0786714553833,0.8974723219871521,228.04788699611464,9824
