Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,12.295734643936157,12.295734643936157,17.160422383062578,211
2,13.614662647247314,6.807331323623657,31.21634454056258,425
4,18.042961359024048,4.510740339756012,46.16758764953966,833
8,37.8379340171814,4.729741752147675,45.80059786596916,1733
16,64.14156007766724,4.008847504854202,52.86743876971393,3391
24,91.6450674533844,3.81854447722435,55.365772986974,5074
32,129.2089455127716,4.037779547274113,52.99942641605346,6848
40,154.3642156124115,3.8591053903102877,55.025706354945186,8494
48,183.12097454071045,3.8150203029314675,56.04491798790851,10263
