Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.578022003173828,4.578022003173828,44.560729471936114,204
2,4.466361999511719,2.2331809997558594,91.7973061845016,410
4,5.3934173583984375,1.3483543395996094,147.7727286873025,797
8,7.822345495223999,0.9777931869029999,207.99388124615297,1627
16,11.247238874435425,0.702952429652214,288.6041664303977,3246
24,18.20254945755005,0.7584395607312521,268.039376098291,4879
32,21.42805027961731,0.6696265712380409,301.28732739352614,6456
40,23.915147304534912,0.5978786826133728,340.4536838648731,8142
48,31.95661759376526,0.6657628665367762,305.2888801943607,9756
