Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.2687904834747314,4.2687904834747314,40.7609604344804,174
2,4.2816174030303955,2.1408087015151978,92.4884133084202,396
4,6.6622514724731445,1.6655628681182861,133.73857226515727,891
8,9.240267038345337,1.1550333797931671,177.80871409688322,1643
16,13.940113544464111,0.871257096529007,239.8115330507885,3343
24,17.690861225128174,0.737119217713674,284.2145408307317,5028
32,24.700692892074585,0.7718966528773308,263.4743903110566,6508
40,30.326086282730103,0.7581521570682526,272.5046655527762,8264
48,33.17021918296814,0.6910462329785029,300.84214834262843,9979
