Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,4.896658182144165,4.896658182144165,44.31593791686299,217
2,5.28526496887207,2.642632484436035,88.54806764775617,468
4,7.175264835357666,1.7938162088394165,115.67517283961365,830
8,10.128377676010132,1.2660472095012665,168.73383424947733,1709
16,17.91886615753174,1.1199291348457336,189.79995553850802,3401
24,24.892735958099365,1.0371973315874736,197.1257803183907,4907
32,33.502328395843506,1.0469477623701096,203.09036194762342,6804
40,39.3167610168457,0.9829190254211426,201.92405973112707,7939
48,50.42354226112366,1.0504904637734096,204.78529545833402,10326
