Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,19.366333484649658,19.366333484649658,11.514828048208328,223
2,24.478206157684326,12.239103078842163,18.056878725210222,442
4,45.261032819747925,11.315258204936981,19.089268321403097,864
8,72.4234311580658,9.052928894758224,24.329142817804293,1762
16,132.2568051815033,8.266050323843956,26.735864329607484,3536
24,201.4517982006073,8.393824925025305,25.86723001008333,5211
32,311.7876205444336,9.74336314201355,22.294021769890627,6951
40,378.4462630748749,9.461156576871872,23.097070450582333,8741
48,449.4952178001404,9.364483704169592,23.384008513909304,10511
