Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,5.068120956420898,5.068120956420898,45.579022676509275,231
2,4.379871606826782,2.189935803413391,87.44548570853738,383
4,5.515772104263306,1.3789430260658264,131.98514845044213,728
8,9.12309217453003,1.1403865218162537,182.39429879329484,1664
16,13.883320093154907,0.8677075058221817,236.11066935035225,3278
24,20.957499742507935,0.8732291559378306,243.25420792728275,5098
32,24.69179081916809,0.7716184630990028,266.56632757841254,6582
40,29.788633346557617,0.7447158336639405,278.99903642140134,8311
48,36.32918071746826,0.7568579316139221,276.96743502838916,10062
