Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,17.898107767105103,17.898107767105103,12.012443035746386,215
2,28.437536478042603,14.218768239021301,14.909870984337267,424
4,39.10951900482178,9.777379751205444,21.657131602553694,847
8,60.86519122123718,7.608148902654648,27.91414872622929,1699
16,123.25328040122986,7.703330025076866,27.585472686259422,3400
24,162.71597456932068,6.779832273721695,31.146296566234913,5068
32,222.85066103935242,6.964083157479763,30.536144556458503,6805
40,283.1833004951477,7.079582512378693,30.00530040134056,8497
48,320.26657819747925,6.672220379114151,31.870325206729103,10207
